time,x,y
81.432503,125.396301,-18.92753
81.513199,125.554903,-18.948777
81.629303,125.872947,-18.991385
81.775101,126.235345,-19.039934
81.932602,126.539728,-19.098483
82.089302,126.926451,-19.135312
82.170403,127.101679,-19.191762
82.283203,127.391788,-19.200545
82.429604,127.639986,-19.22811
82.5868,128.039584,-19.281643
82.746201,128.364744,-19.300955
82.827499,128.565455,-19.319926
82.938004,128.777457,-19.380494
83.084305,129.155433,-19.431131
83.241203,129.498966,-19.477153
83.403099,129.849605,-19.527876
83.484604,130.022226,-19.589743
83.593498,130.310161,-19.586621
83.739098,130.645104,-19.657344
83.895599,131.009183,-19.72684
84.060104,131.415628,-19.764767
84.141701,131.615614,-19.786132
84.248901,131.87379,-19.820849
84.394005,132.181069,-19.930977
84.549904,132.56942,-19.962039
84.717102,132.947453,-20.081741
84.798798,133.204166,-20.116133
84.904404,133.388318,-20.140803
85.048904,133.766242,-20.191433
85.2043,134.176485,-20.246392
85.374001,134.575598,-20.299861
85.4561,134.741355,-20.322067
85.559799,134.941041,-20.379533
85.703598,135.303658,-20.401371
85.858604,135.599643,-20.484584
86.0308,136.003766,-20.508125
86.113304,136.189012,-20.554931
86.215302,136.452597,-20.560863
86.358299,136.792103,-20.614364
86.512802,137.089668,-20.645025
86.686203,137.509839,-20.697246
86.7705,137.655114,-20.712419
86.870804,137.855007,-20.775157
87.013,138.115234,-20.813132
87.166801,138.452049,-20.819184
87.341499,138.807082,-20.866747
87.427605,139.031586,-20.896824
87.526398,139.240358,-20.924792
87.667801,139.577769,-20.969995
87.820702,139.997137,-21.038321
87.996803,140.371021,-21.170559
88.084404,140.607454,-21.160605
88.1819,140.820289,-21.225216
88.322998,141.084032,-21.25364
88.4748,141.447497,-21.305843
88.652,141.881011,-21.353091
88.741104,142.096442,-21.380666
88.837502,142.332122,-21.406646
88.978302,142.587776,-21.468311
89.128799,142.990024,-21.5222
89.307198,143.340769,-21.611028
89.397598,143.583488,-21.602848
89.493401,143.786296,-21.675535
89.633598,144.074157,-21.714974
89.783005,144.412892,-21.760354
89.962402,144.80898,-21.813418
90.054001,145.008663,-21.84017
90.1492,145.248254,-21.872267
90.288902,145.546592,-21.912236
90.437103,145.881594,-21.984731
90.617599,146.246512,-22.016661
90.710304,146.435102,-22.078803
90.805,146.602781,-22.101267
90.944298,146.99653,-22.177344
91.091202,147.258549,-22.236654
91.272102,147.684506,-22.304678
91.366699,147.861637,-22.31745
91.460602,148.117413,-22.351716
91.599503,148.403055,-22.389983
91.745598,148.791153,-22.441977
91.926498,149.24237,-22.502426
92.023102,149.442376,-22.529221
92.116302,149.707617,-22.564756
92.254601,149.960216,-22.626834
92.400902,150.32534,-22.647512
92.580902,150.708001,-22.658061
92.679703,150.882388,-22.674606
92.772003,151.030588,-22.69446
92.9095,151.412096,-22.745571
93.056297,151.745792,-22.790277
93.2351,152.139209,-22.824007
93.336205,152.388235,-22.848299
93.427704,152.565325,-22.90007
93.564499,152.860828,-22.906726
93.711601,153.199736,-22.977283
93.889,153.624285,-23.039013
93.992699,153.793841,-23.064655
94.0839,154.082811,-23.103368
94.219498,154.318638,-23.134962
94.366699,154.633389,-23.143126
94.5429,155.023951,-23.18192
94.6492,155.278774,-23.216059
94.740204,155.474026,-23.220835
94.874405,155.749826,-23.231632
95.021904,156.147212,-23.28487
95.196503,156.429737,-23.32272
95.306,156.764047,-23.367508
95.3964,156.911181,-23.38722
95.529602,157.283627,-23.437117
95.6772,157.52065,-23.468871
95.849998,157.958837,-23.527575
95.962799,158.213853,-23.529614
96.052704,158.423112,-23.569565
96.1847,158.754672,-23.591671
96.332397,159.063054,-23.627975
96.503502,159.43886,-23.678322
96.619499,159.637565,-23.716499
96.709,159.835074,-23.772387
96.839699,160.139317,-23.772163
96.987701,160.525541,-23.823906
97.157104,160.877279,-23.841611
97.2761,161.110082,-23.854684
97.365204,161.365535,-23.888907
97.494904,161.621973,-23.923263
97.642998,161.969313,-23.922263
97.8106,162.306588,-24.007638
97.932701,162.595074,-24.006097
98.021202,162.765576,-24.01659
98.1502,163.081892,-24.049926
98.298302,163.34621,-24.105246
98.464302,163.718794,-24.10911
98.589401,164.070759,-24.156263
98.677101,164.220978,-24.176388
98.805504,164.536708,-24.171153
98.953499,164.838035,-24.183816
99.118004,165.172793,-24.197998
99.246002,165.488806,-24.227789
99.332901,165.694911,-24.260842
99.4608,165.968381,-24.267889
99.608398,166.365897,-24.321145
99.771599,166.711645,-24.331139
99.903198,167.008842,-24.403453
99.988899,167.240038,-24.393719
