t,x,y
82.796501,116.224821,17.455662
82.935196,116.593313,17.407617
83.081398,116.981303,17.35703
83.262001,117.460963,17.294491
83.359299,117.719436,17.26079
83.452095,117.965943,17.22865
83.590302,118.332726,17.180828
83.736694,118.721571,17.130129
83.916298,119.198559,17.067939
84.0159,119.462909,17.033472
84.107895,119.707225,17.001617
84.245201,120.071871,16.954074
84.391998,120.461892,16.903222
84.570396,120.935621,16.841456
84.672295,121.206248,16.806171
84.763695,121.448802,16.774546
84.900101,121.811124,16.727306
85.047295,122.199238,16.679225
85.224396,122.663948,16.623703
85.328796,122.938175,16.590939
85.419998,123.1775,16.562345
85.555099,123.532171,16.519971
85.7024,123.91884,16.473773
85.878098,124.379907,16.418686
85.985497,124.661817,16.385005
86.076195,124.900006,16.356547
86.210197,125.251483,16.314554
86.357597,125.638627,16.268299
86.5317,126.09547,16.213717
86.642296,126.385669,16.179045
86.732498,126.622539,16.150745
86.865295,126.971058,16.109105
87.012901,127.358493,16.062816
87.185196,127.810715,16.008786
87.298996,128.109601,15.973076
87.388802,128.345151,15.944933
87.520294,128.690449,15.903678
87.668098,129.078412,15.857326
87.838699,129.52612,15.803836
87.955696,129.833216,15.767145
88.045097,130.067789,15.739119
88.1754,130.40984,15.698252
88.323502,130.798621,15.651802
88.492294,131.241603,15.598876
88.612297,131.55662,15.561239
88.701195,131.789978,15.533358
88.830597,132.129732,15.492766
88.978798,132.518619,15.446303
89.145897,132.957192,15.393904
89.268898,133.280103,15.355323
89.357101,133.511718,15.327651
89.486,133.849862,15.287251
89.634094,134.238643,15.240801
89.799599,134.672992,15.188906
89.925598,135.003718,15.149392
90.013,135.241787,15.11929
90.141296,135.599039,15.07265
90.289101,136.010505,15.018933
90.453201,136.467306,14.959297
90.582397,136.826995,14.91234
90.6689,137.067842,14.880897
90.7966,137.423191,14.834506
90.944,137.833648,14.78092
91.106796,138.287005,14.721734
91.2397,138.656831,14.673453
91.324898,138.89401,14.642489
91.451698,139.247175,14.596383
91.598701,139.656288,14.542973
91.760696,140.107292,14.484094
91.896896,140.486415,14.434599
91.980896,140.720262,14.40407
92.106895,141.071214,14.358253
92.253197,141.478451,14.305088
92.414597,141.927775,14.246428
92.5541,142.316083,14.195735
92.636894,142.546765,14.165619
92.7621,142.895394,14.120105
92.9076,143.300418,14.067229
93.068497,143.748343,14.008752
93.211296,144.145835,13.956859
93.2929,144.373073,13.927193
93.417099,144.718761,13.882063
93.562096,145.122526,13.829351
93.722298,145.56849,13.77113
93.8685,145.975587,13.717983
93.948898,146.199381,13.688767
94.071495,146.540617,13.644218
94.216599,146.944689,13.591466
94.375999,147.388497,13.533527
94.525597,147.804807,13.479177
